datetime,USGSData.percentile,USGSData.huc_cd,USGSData.flow,USGSData.stage,USGSData.url,USGSData.station_nm,Event.EventTime,Event.Container,Event.Path,Event.Label,Event.Latitude,Event.Longitude,
08Jul19 15:40:00,71.38,04100004,144,3.3,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04180988,St. Marys River at Rockford OH,07-08-2019 15:40:00,HTTPSources,OH04180988,USGSData,40.6948,-84.6466,
08Jul19 15:30:00,97.87,04100001,546,7.69,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04177000,Ottawa River at University of Toledo  Toledo OH,07-08-2019 15:30:00,HTTPSources,OH04177000,USGSData,41.6597,-83.6125,
08Jul19 15:30:00,88.08,04100003,572,7.59,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04178000,St Joseph River near Newville IN,07-08-2019 15:30:00,HTTPSources,OH04178000,USGSData,41.3855999,-84.8015999,
08Jul19 15:30:00,68.25,04100007,25.8,11.31,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04187100,Ottawa River at Lima OH,07-08-2019 15:30:00,HTTPSources,OH04187100,USGSData,40.7248,-84.1263,
08Jul19 15:30:00,88.94,04100008,1100,12.3,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04189260,Blanchard River at Ottawa OH,07-08-2019 15:30:00,HTTPSources,OH04189260,USGSData,41.017,-84.0468999,
08Jul19 15:30:00,0,04100007,0,14.15,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04190200,Auglaize River near Dupont OH,07-08-2019 15:30:00,HTTPSources,OH04190200,USGSData,41.0631,-84.3419,
08Jul19 15:30:00,56.56,04100009,67,1.88,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04192599,South Turkeyfoot Creek near Shunk OH,07-08-2019 15:30:00,HTTPSources,OH04192599,USGSData,41.3564,-84.0508,
08Jul19 15:30:00,90.54,04100010,317,3.33,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04195500,Portage River at Woodville OH,07-08-2019 15:30:00,HTTPSources,OH04195500,USGSData,41.4495,-83.3613,
08Jul19 15:30:00,92.15,04100011,295,2.46,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04196000,Sandusky River near Bucyrus OH,07-08-2019 15:30:00,HTTPSources,OH04196000,USGSData,40.8037,-83.0057,
08Jul19 15:30:00,84.1,04100011,318,2.38,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04196500,Sandusky River near Upper Sandusky OH,07-08-2019 15:30:00,HTTPSources,OH04196500,USGSData,40.8506,-83.2563,
08Jul19 15:30:00,87.78,04100011,145,2.82,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04196800,Tymochtee Creek at Crawford OH,07-08-2019 15:30:00,HTTPSources,OH04196800,USGSData,40.9228,-83.3488,
08Jul19 15:30:00,36.15,04100011,0.42,3.89,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04197152,Rock Creek near Republic OH,07-08-2019 15:30:00,HTTPSources,OH04197152,USGSData,41.1017,-83.0539,
08Jul19 15:30:00,89.37,04100011,1200,2.27,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04198000,Sandusky River near Fremont OH,07-08-2019 15:30:00,HTTPSources,OH04198000,USGSData,41.3078,-83.1588,
08Jul19 15:30:00,92.59,04100012,531,8.14,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04199000,Huron River at Milan OH,07-08-2019 15:30:00,HTTPSources,OH04199000,USGSData,41.3009,-82.6082,
08Jul19 15:30:00,82.44,04110001,147,5.69,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04201500,Rocky River near Berea OH,07-08-2019 15:30:00,HTTPSources,OH04201500,USGSData,41.4075,-81.8826,
08Jul19 15:30:00,14.29,04110001,2.97,0.58,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04201526,Abram Creek at Kolthoff Drive at Brook Park OH,07-08-2019 15:30:00,HTTPSources,OH04201526,USGSData,41.3930999,-81.8503,
08Jul19 15:30:00,30.37,04110002,1.17,0.95,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04206413,Indian Creek near Macedonia OH,07-08-2019 15:30:00,HTTPSources,OH04206413,USGSData,41.3031,-81.5133,
08Jul19 15:30:00,65.46,04110002,12.4,2.66,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04206448,Chippewa Ck in Chippewa Met Pk near Brecksville OH,07-08-2019 15:30:00,HTTPSources,OH04206448,USGSData,41.3167,-81.5979,
08Jul19 15:30:00,82.6,04110002,853,4.11,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04208000,Cuyahoga River at Independence OH,07-08-2019 15:30:00,HTTPSources,OH04208000,USGSData,41.3953,-81.6298,
08Jul19 15:30:00,60.54,04110002,6.24,1.5,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04208347,Mill Creek at Garfield Pkwy at Garfield Heights OH,07-08-2019 15:30:00,HTTPSources,OH04208347,USGSData,41.4333,-81.6061,
08Jul19 15:30:00,51.4,04110002,0.56,9.15,https://waterdata.usgs.gov/oh/nwis/uv?site_no=412141081412100,West Creek at Pleasant Valley Road near Parma OH,07-08-2019 15:30:00,HTTPSources,OH412141081412100,USGSData,41.3614,-81.6892,
08Jul19 15:30:00,10,04110002,0.34,4.68,https://waterdata.usgs.gov/oh/nwis/uv?site_no=412325081415500,West Creek at Ridgewood Road at Parma OH,07-08-2019 15:30:00,HTTPSources,OH412325081415500,USGSData,41.3903,-81.6986,
08Jul19 15:30:00,15.73,04110002,3.69,1.2,https://waterdata.usgs.gov/oh/nwis/uv?site_no=412453081395500,West Creek at Brooklyn Heights OH,07-08-2019 15:30:00,HTTPSources,OH412453081395500,USGSData,41.4147,-81.6653,
08Jul19 15:30:00,56.36,04120101,1.97,1.55,https://waterdata.usgs.gov/pa/nwis/uv?site_no=04213075,Brandy Run near Girard  PA,07-08-2019 15:30:00,HTTPSources,PA04213075,USGSData,41.992,-80.2912,
08Jul19 15:30:00,41.45,04120101,15.3,3.26,https://waterdata.usgs.gov/pa/nwis/uv?site_no=04213152,Walnut Creek Upstream Pool  near Erie  PA,07-08-2019 15:30:00,HTTPSources,PA04213152,USGSData,42.0739,-80.2347,
08Jul19 15:20:00,0,04110001,2.76,1.49,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04201423,Plum Creek near Olmsted Falls OH,07-08-2019 15:20:00,HTTPSources,OH04201423,USGSData,41.3586,-81.9214,
08Jul19 15:20:00,0,04110001,0.96,0.31,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04201429,Unnamed Trib to W B Rocky R near Olmsted Falls OH,07-08-2019 15:20:00,HTTPSources,OH04201429,USGSData,41.3833,-81.9094,
08Jul19 15:20:00,0,04110001,36.4,5.89,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04201484,East Branch Rocky River near Strongsville OH,07-08-2019 15:20:00,HTTPSources,OH04201484,USGSData,41.3344,-81.8347,
08Jul19 15:15:00,90.14,04100007,2240,7.78,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04191500,Auglaize River near Defiance OH,07-08-2019 15:15:00,HTTPSources,OH04191500,USGSData,41.2375,-84.3991,
08Jul19 15:15:00,81.92,04100011,10.7,3.76,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04197170,Rock Creek at Tiffin OH,07-08-2019 15:15:00,HTTPSources,OH04197170,USGSData,41.1137,-83.1683,
08Jul19 15:15:00,85.32,04110001,179,1.87,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04200500,Black River at Elyria OH,07-08-2019 15:15:00,HTTPSources,OH04200500,USGSData,41.3803,-82.1046,
08Jul19 15:15:00,87.41,04110002,203,2.29,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04202000,Cuyahoga River at Hiram Rapids OH,07-08-2019 15:15:00,HTTPSources,OH04202000,USGSData,41.3406,-81.1668,
08Jul19 15:15:00,80.06,04110002,96,2.72,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04207200,Tinkers Creek at Bedford OH,07-08-2019 15:15:00,HTTPSources,OH04207200,USGSData,41.3845,-81.5273,
08Jul19 15:15:00,61.33,04110002,22.4,2.58,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04208502,Big Creek at Cleveland OH,07-08-2019 15:15:00,HTTPSources,OH04208502,USGSData,41.4503,-81.7215,
08Jul19 15:15:00,0,04110003,3.41,1.52,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04208684,East Branch Euclid Creek at Richmond Heights OH,07-08-2019 15:15:00,HTTPSources,OH04208684,USGSData,41.5742,-81.4947,
08Jul19 15:15:00,83.61,04110003,316,3.76,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04209000,Chagrin River at Willoughby OH,07-08-2019 15:15:00,HTTPSources,OH04209000,USGSData,41.6308999,-81.4034,
08Jul19 15:15:00,59.3,04100004,3.34,3.73,https://waterdata.usgs.gov/oh/nwis/uv?site_no=402913084285400,Chickasaw Creek at St. Marys OH,07-08-2019 15:15:00,HTTPSources,OH402913084285400,USGSData,40.4869,-84.4817,
08Jul19 15:10:00,0,04110003,2.45,0.49,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04208677,Euclid Creek at South Euclid OH,07-08-2019 15:10:00,HTTPSources,OH04208677,USGSData,41.5244,-81.5142,
08Jul19 15:10:00,0,04110003,5.36,6.18,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04208923,Unnamed tributary to Chagrin R at Pepper Pike OH,07-08-2019 15:10:00,HTTPSources,OH04208923,USGSData,41.4711,-81.4383,
08Jul19 15:10:00,0,04110003,0.11,0.63,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04208943,Unnamed trib to Chagrin R at Mayfield Village OH,07-08-2019 15:10:00,HTTPSources,OH04208943,USGSData,41.5428,-81.4447,
08Jul19 15:05:00,67.32,04110002,16.8,1.65,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04208460,Mill Creek at Garfield Hts OH,07-08-2019 15:05:00,HTTPSources,OH04208460,USGSData,41.4239,-81.6376,
08Jul19 15:02:00,0,04100008,0.00484,0.11,https://waterdata.usgs.gov/oh/nwis/uv?site_no=405051083391001,Eagle Creek tile 1 near Williamstown OH,07-08-2019 15:02:00,HTTPSources,OH405051083391001,USGSData,40.8474999,-83.6528,
08Jul19 15:01:00,0,04100011,0,-0.01,https://waterdata.usgs.gov/oh/nwis/uv?site_no=404755082550600,Flume at SR 30 nr Twp Rd 13 nr Bucyrus OH,07-08-2019 15:01:00,HTTPSources,OH404755082550600,USGSData,40.7986,-82.9183,
08Jul19 15:01:00,0,04100011,0,-0.01,https://waterdata.usgs.gov/oh/nwis/uv?site_no=404901083053600,Flume at SR 30 nr Twp Rd 1 nr Bucyrus OH,07-08-2019 15:01:00,HTTPSources,OH404901083053600,USGSData,40.8168999,-83.0933,
08Jul19 15:00:00,39.24,04100004,195,3.45,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04181049,St Marys River at Walcot Street at Willshire OH,07-08-2019 15:00:00,HTTPSources,OH04181049,USGSData,40.7489,-84.7891999,
08Jul19 15:00:00,85.99,04100005,1840,9.09,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04183500,Maumee River at Antwerp OH,07-08-2019 15:00:00,HTTPSources,OH04183500,USGSData,41.1989,-84.7444,
08Jul19 15:00:00,66.67,04100005,3.51,1.59,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04183979,Platter Creek near Sherwood OH,07-08-2019 15:00:00,HTTPSources,OH04183979,USGSData,41.2669,-84.5919,
08Jul19 15:00:00,90.37,04100006,233,9.6,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04184500,Bean Creek at Powers OH,07-08-2019 15:00:00,HTTPSources,OH04184500,USGSData,41.6595,-84.2491,
08Jul19 15:00:00,95.06,04100006,662,8.75,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04185000,Tiffin River at Stryker OH,07-08-2019 15:00:00,HTTPSources,OH04185000,USGSData,41.5045,-84.4297,
08Jul19 15:00:00,73.1,04100006,480,12.65,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04185318,Tiffin River near Evansport OH,07-08-2019 15:00:00,HTTPSources,OH04185318,USGSData,41.3825,-84.4161,
08Jul19 15:00:00,66.62,04100006,0.95,1.41,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04185440,Unnamed Tributary to Lost Creek near Farmer OH,07-08-2019 15:00:00,HTTPSources,OH04185440,USGSData,41.3617,-84.6911,
08Jul19 15:00:00,44.6,04100007,84.1,5.25,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04185935,Auglaize River near Kossuth OH,07-08-2019 15:00:00,HTTPSources,OH04185935,USGSData,40.6858,-84.2656,
08Jul19 15:00:00,81.02,04100007,156,2.64,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04186500,Auglaize River near Fort Jennings OH,07-08-2019 15:00:00,HTTPSources,OH04186500,USGSData,40.9487,-84.2661,
08Jul19 15:00:00,66.78,04100007,255,5.27,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04188100,Ottawa River near Kalida OH,07-08-2019 15:00:00,HTTPSources,OH04188100,USGSData,40.9903,-84.2266,
08Jul19 15:00:00,0,04100008,3.59,2.29,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04188324,Potato Run near Wharton OH,07-08-2019 15:00:00,HTTPSources,OH04188324,USGSData,40.8656,-83.4914,
08Jul19 15:00:00,84.8,04100008,270,5.52,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04188337,Blanchard River below Mt. Blanchard OH,07-08-2019 15:00:00,HTTPSources,OH04188337,USGSData,40.9245,-83.5572,
08Jul19 15:00:00,91.67,04100008,579,7.63,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04188400,Blanchard River above Findlay OH,07-08-2019 15:00:00,HTTPSources,OH04188400,USGSData,41.0339,-83.5794,
08Jul19 15:00:00,77.24,04100008,12.4,1.6,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04188433,Lye Creek above Findlay OH,07-08-2019 15:00:00,HTTPSources,OH04188433,USGSData,40.9826,-83.5858,
08Jul19 15:00:00,91.67,04100008,285,5.38,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04188496,Eagle Creek above Findlay OH,07-08-2019 15:00:00,HTTPSources,OH04188496,USGSData,40.9792,-83.6533,
08Jul19 15:00:00,95.82,04100008,1130,4.11,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04189000,Blanchard River near Findlay OH,07-08-2019 15:00:00,HTTPSources,OH04189000,USGSData,41.0559,-83.688,
08Jul19 15:00:00,80.17,04100008,617,8.98,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04190000,Blanchard River near Dupont OH,07-08-2019 15:00:00,HTTPSources,OH04190000,USGSData,41.0414,-84.2269,
08Jul19 15:00:00,48.77,04100007,74.3,13.45,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04191058,Little Auglaize River at Melrose OH,07-08-2019 15:00:00,HTTPSources,OH04191058,USGSData,41.0919,-84.4075,
08Jul19 15:00:00,53.23,04100007,0.83,2.21,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04191444,Little Flatrock Creek near Junction OH,07-08-2019 15:00:00,HTTPSources,OH04191444,USGSData,41.1856,-84.4956,
08Jul19 15:00:00,83.2,04100009,4050,2.9,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04192500,Maumee River near Defiance OH,07-08-2019 15:00:00,HTTPSources,OH04192500,USGSData,41.292,-84.2811,
08Jul19 15:00:00,72.91,04100009,Eqp,Eqp,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04193500,Maumee River at Waterville OH,07-08-2019 15:00:00,HTTPSources,OH04193500,USGSData,41.5001,-83.7127,
08Jul19 15:00:00,87.65,04100011,128,3.04,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04197100,Honey Creek at Melmore OH,07-08-2019 15:00:00,HTTPSources,OH04197100,USGSData,41.0223,-83.1096,
08Jul19 15:00:00,96.38,04100012,1180,4.03,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04199500,Vermilion River near Vermilion OH,07-08-2019 15:00:00,HTTPSources,OH04199500,USGSData,41.382,-82.3168,
08Jul19 15:00:00,81.52,04110002,420,3.47,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04206000,Cuyahoga River at Old Portage OH,07-08-2019 15:00:00,HTTPSources,OH04206000,USGSData,41.1355999,-81.5471,
08Jul19 15:00:00,71.08,04110002,1170,73.52,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04208504,Cuyahoga River near Newburgh Heights OH,07-08-2019 15:00:00,HTTPSources,OH04208504,USGSData,41.4626,-81.681,
08Jul19 15:00:00,63.03,04110003,37.6,3.42,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04208700,Euclid Creek at Cleveland OH,07-08-2019 15:00:00,HTTPSources,OH04208700,USGSData,41.5822999,-81.5587,
08Jul19 15:00:00,68.64,04110004,261,2.24,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04212100,Grand River near Painesville OH,07-08-2019 15:00:00,HTTPSources,OH04212100,USGSData,41.7189,-81.2279,
08Jul19 15:00:00,74.51,04120101,63.8,1.69,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04213000,Conneaut Creek at Conneaut OH,07-08-2019 15:00:00,HTTPSources,OH04213000,USGSData,41.927,-80.604,
08Jul19 15:00:00,0,04100008,0,-0.01,https://waterdata.usgs.gov/oh/nwis/uv?site_no=405051083391201,Eagle Creek waterway 1 near Williamstown OH,07-08-2019 15:00:00,HTTPSources,OH405051083391201,USGSData,40.8474999,-83.6533,
08Jul19 15:00:00,25.26,04110002,8.05,2.25,https://waterdata.usgs.gov/oh/nwis/uv?site_no=412624081450700,East Branch Big Creek at Brooklyn OH,07-08-2019 15:00:00,HTTPSources,OH412624081450700,USGSData,41.44,-81.7519,
08Jul19 14:54:00,0,04070001,110000,582.64,https://waterdata.usgs.gov/mi/nwis/uv?site_no=04127885,ST. MARYS RIVER AT SAULT STE. MARIE  ONTARIO,07-08-2019 14:54:00,HTTPSources,MI04127885,USGSData,46.4983,-84.3152999,
08Jul19 14:50:00,0,04110001,1.19,1.84,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04201409,Unnamed Tributary to W B Rocky R near Berea OH,07-08-2019 14:50:00,HTTPSources,OH04201409,USGSData,41.3508,-81.8861,
08Jul19 14:48:00,85,04050006,6610,13.97,https://waterdata.usgs.gov/mi/nwis/uv?site_no=04119400,GRAND RIVER NEAR EASTMANVILLE  MI,07-08-2019 14:48:00,HTTPSources,MI04119400,USGSData,43.0242,-86.0264,
08Jul19 14:48:00,0,04090004,222000,576.89,https://waterdata.usgs.gov/mi/nwis/uv?site_no=04165710,DETROIT RIVER AT FORT WAYNE AT DETROIT  MI,07-08-2019 14:48:00,HTTPSources,MI04165710,USGSData,42.2981,-83.0926999,
08Jul19 14:45:00,90,04100008,1810,8.7,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04189131,Blanchard River at Gilboa OH,07-08-2019 14:45:00,HTTPSources,OH04189131,USGSData,41.0153,-83.9188999,
08Jul19 14:45:00,84.26,04100008,242,4.89,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04189174,Riley Creek below Pandora OH,07-08-2019 14:45:00,HTTPSources,OH04189174,USGSData,40.9731,-83.9764,
08Jul19 14:45:00,42.71,04100009,1.34,2.95,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04192574,West Creek near Hamler OH,07-08-2019 14:45:00,HTTPSources,OH04192574,USGSData,41.2619,-84.0367,
08Jul19 14:45:00,72.36,04100009,68.3,3.62,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04193999,Wolf Creek at Holland OH,07-08-2019 14:45:00,HTTPSources,OH04193999,USGSData,41.6094,-83.6842,
08Jul19 14:45:00,90.68,04100010,504,3.41,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04195820,Portage River near Elmore OH,07-08-2019 14:45:00,HTTPSources,OH04195820,USGSData,41.4912,-83.2246,
08Jul19 14:45:00,77.52,04100011,1240,3.31,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04197137,Sandusky River at Tiffin OH,07-08-2019 14:45:00,HTTPSources,OH04197137,USGSData,41.1141999,-83.1797,
08Jul19 14:45:00,81.06,04100012,7.49,2.29,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04199155,Old Woman Creek at Berlin Rd near Huron OH,07-08-2019 14:45:00,HTTPSources,OH04199155,USGSData,41.3484,-82.5138,
08Jul19 14:45:00,35.65,04110001,49.8,6.72,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04201400,West Branch Rocky River at West View OH,07-08-2019 14:45:00,HTTPSources,OH04201400,USGSData,41.3509,-81.9032,
08Jul19 14:45:00,55.16,04110001,2.29,1.17,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04201404,Baker Creek at Olmsted Falls OH,07-08-2019 14:45:00,HTTPSources,OH04201404,USGSData,41.3509,-81.9001,
08Jul19 14:45:00,80,04110001,8.72,2.64,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04201495,Baldwin Creek at Strongsville OH,07-08-2019 14:45:00,HTTPSources,OH04201495,USGSData,41.3495,-81.8257,
08Jul19 14:45:00,0,04110001,0,1.52,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04201515,Abram Creek at Brook Park OH,07-08-2019 14:45:00,HTTPSources,OH04201515,USGSData,41.3892,-81.8356,
08Jul19 14:45:00,57.93,04110002,13.7,3.12,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04206416,Brandywine Creek near Macedonia OH,07-08-2019 14:45:00,HTTPSources,OH04206416,USGSData,41.2941999,-81.5208,
08Jul19 14:45:00,78.09,04110002,771,3.68,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04206425,Cuyahoga River at Jaite OH,07-08-2019 14:45:00,HTTPSources,OH04206425,USGSData,41.2889,-81.5651,
08Jul19 14:45:00,0,04110003,4.54,1.76,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04208598,Doan Brook at MLK Jr Dr at Cleveland OH,07-08-2019 14:45:00,HTTPSources,OH04208598,USGSData,41.5142,-81.6183,
08Jul19 14:45:00,0,04100008,6.05,2.37,https://waterdata.usgs.gov/oh/nwis/uv?site_no=04188252,Unnamed Tributary to Blanchard River nr Dunkirk OH,07-08-2019 14:45:00,HTTPSources,OH04188252,USGSData,40.7614,-83.5953,
08Jul19 14:45:00,55.6,04020102,133,4.28,https://waterdata.usgs.gov/mi/nwis/uv?site_no=04033000,MIDDLE BRANCH ONTONAGON RIVER NEAR PAULDING  MI,07-08-2019 14:45:00,HTTPSources,MI04033000,USGSData,46.3569,-89.0765,
08Jul19 14:45:00,0,04020102,0,2.9,https://waterdata.usgs.gov/mi/nwis/uv?site_no=04035995,LAKE GOGEBIC NEAR BERGLAND  MI,07-08-2019 14:45:00,HTTPSources,MI04035995,USGSData,46.5886,-89.5479,
08Jul19 14:45:00,56.82,04020104,98,4.16,https://waterdata.usgs.gov/mi/nwis/uv?site_no=04040500,STURGEON RIVER NEAR SIDNAW  MI,07-08-2019 14:45:00,HTTPSources,MI04040500,USGSData,46.5841,-88.5759999,
08Jul19 14:45:00,85.44,04020105,6.37,0.39,https://waterdata.usgs.gov/mi/nwis/uv?site_no=04043238,SALMON TROUT RIVER NEAR BIG BAY  MI,07-08-2019 14:45:00,HTTPSources,MI04043238,USGSData,46.7821,-87.8776,
08Jul19 14:45:00,0,04020105,0,0.96,https://waterdata.usgs.gov/mi/nwis/uv?site_no=04044090,WHETSTONE BROOK AT ALTAMONT ST AT MARQUETTE  MI,07-08-2019 14:45:00,HTTPSources,MI04044090,USGSData,46.5388,-87.404,
08Jul19 14:45:00,60.1,04020202,419,3.64,https://waterdata.usgs.gov/mi/nwis/uv?site_no=04045500,TAHQUAMENON RIVER NEAR PARADISE  MI,07-08-2019 14:45:00,HTTPSources,MI04045500,USGSData,46.5745999,-85.2696,
08Jul19 14:45:00,75,04060106,1150,4.24,https://waterdata.usgs.gov/mi/nwis/uv?site_no=04056500,MANISTIQUE RIVER NEAR MANISTIQUE  MI,07-08-2019 14:45:00,HTTPSources,MI04056500,USGSData,46.0305,-86.1611999,
