Sampling Time,Station Name,Link,Percentile,Stage (ft),HU Code,Flow (cfs),Path,Latitude,Longitude
7/8/2019 15:42,STARLING CREEK AT PORT OF SAXIS AT SAXIS  VA,https://waterdata.usgs.gov/va/nwis/uv?site_no=01484938,0,0.53,2080109,0,VA01484938,37.9188,-75.7275
7/8/2019 15:40,Darby Creek near Darby  PA,https://waterdata.usgs.gov/pa/nwis/uv?site_no=01475510,0,2.21,2040202,70.5,PA01475510,39.929,-75.2724
7/8/2019 15:40,EAST BRANCH HERBERT RUN AT ARBUTUS  MD,https://waterdata.usgs.gov/md/nwis/uv?site_no=01589100,92.32,1.39,2060003,14.2,MD01589100,39.24,-76.6922
7/8/2019 15:40,DEAD RUN AT FRANKLINTOWN  MD,https://waterdata.usgs.gov/md/nwis/uv?site_no=01589330,95.69,1.41,2060003,72.5,MD01589330,39.3112,-76.7166
7/8/2019 15:40,Peckman River at Ozone Ave at Verona NJ,https://waterdata.usgs.gov/nj/nwis/uv?site_no=01389534,0,-0.16,2030103,0,NJ01389534,40.845,-74.2356
7/8/2019 15:40,STORM DRAIN AT PROFESSIONAL PL NEAR CHESAPEAKE  VA,https://waterdata.usgs.gov/va/nwis/uv?site_no=0204288786,0,1.56,2080208,0.1,VA0204288786,36.7638,-76.2291
7/8/2019 15:36,EASTERN BAY AT CLAIBORNE  MD,https://waterdata.usgs.gov/md/nwis/uv?site_no=01492600,0,0.52,2060002,0,MD01492600,38.837,-76.2806
7/8/2019 15:36,Great Egg Harbor Bay at Ocean City  NJ,https://waterdata.usgs.gov/nj/nwis/uv?site_no=01411320,0,2.43,2040302,0,NJ01411320,39.2858,-74.5756
7/8/2019 15:36,Ingram Thorofare at Avalon  NJ,https://waterdata.usgs.gov/nj/nwis/uv?site_no=01411355,0,2.6,2040302,0,NJ01411355,39.1108,-74.7342
7/8/2019 15:36,NASSAWADOX CREEK AB CHURCH CRK NR SILVER BEACH  VA,https://waterdata.usgs.gov/va/nwis/uv?site_no=01484812,0,1.21,2080109,0,VA01484812,37.4763,-75.9352
7/8/2019 15:35,CARROLL CREEK NEAR FREDERICK  MD,https://waterdata.usgs.gov/md/nwis/uv?site_no=01642198,0,3.95,2070009,58,MD01642198,39.436,-77.4406
7/8/2019 15:35,Elizabeth River at Ursino Lake at Elizabeth NJ,https://waterdata.usgs.gov/nj/nwis/uv?site_no=01393450,70.65,13.38,2030104,13.4,NJ01393450,40.675,-74.2219
7/8/2019 15:35,SOUTH FORK BACK CREEK AT RT 814 NEAR SHERANDO  VA,https://waterdata.usgs.gov/va/nwis/uv?site_no=0162588350,0,1.89,2070005,0,VA0162588350,37.9219,-78.9873
7/8/2019 15:34,UNNAMED DITCH ON WILSON PT RD AT MIDDLE RIVER  MD,https://waterdata.usgs.gov/md/nwis/uv?site_no=01585175,0,6.63,2060003,0,MD01585175,39.3322999,-76.4278
